# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	17463
#@/user_id	51e25a0a-ac6c-40dd-89cd-561e9e93526d
bu lai 	不来	c=2 d=6.22626e-15 t=17463
bu li ta 	不理她	c=1 d=0.00264522 t=17463
bu li wo 	不理我	c=3 d=7.98788e-05 t=17463
bu liao 	不了	c=8 d=0.000548915 t=17463
bu ma 	不吗	c=1 d=1.29759e-06 t=17463
bu mai 	不买	c=1 d=9.07952e-12 t=17463
bu mai 	不卖	c=1 d=5.49279e-11 t=17463
bu nei xiang 	不内向	c=1 d=2.29801e-24 t=17463
bu neng 	不能	c=15 d=0.00755912 t=17463
bu pa 	不怕	c=2 d=1.26861e-05 t=17463
bu pang 	不胖	c=0 d=3.8262e-23 t=17463
bu pei 	不赔	c=1 d=9.23431e-05 t=17463
bu pian ke 	不偏科	c=1 d=0.0217096 t=17463
bu pian ni 	不骗你	c=2 d=0.00488376 t=17463
bu piao liang 	不漂亮	c=0 d=0.00655462 t=17463
bu pin 	补品	c=1 d=6.41807e-19 t=17463
bu qi 	不起	c=0 d=0.000148848 t=17463
bu qing chu 	不清楚	c=1 d=4.38608e-11 t=17463
bu qu 	不去	c=9 d=0.0317456 t=17463
bu quan 	补全	c=1 d=1.57205e-28 t=17463
bu que 	不缺	c=1 d=0.216536 t=17463
bu que ding 	不确定	c=1 d=2.62836e-16 t=17463
bu ran 	不然	c=4 d=0.554327 t=17463
bu ru 	不如	c=1 d=4.10363e-22 t=17463
bu san 	不散	c=1 d=2.16381e-22 t=17463
bu shi 	不是	c=41 d=1.80788 t=17463
bu shi 	不适	c=2 d=0.238208 t=17463
bu shi de 	不适的	c=1 d=1.72696e-16 t=17463
bu shi hen 	不是很	c=0 d=1.93875e-25 t=17463
bu shi hen qing chu 	不是很清楚	c=1 d=1.94847e-24 t=17463
bu shi shi 	不是事	c=1 d=1.88081e-20 t=17463
bu shi ting duo 	不是挺多	c=1 d=3.45139e-15 t=17463
bu shu 	不熟	c=1 d=3.62021e-18 t=17463
bu shu fu 	不舒服	c=1 d=2.16831e-17 t=17463
bu shu ru 	不输入	c=1 d=7.84171e-23 t=17463
bu shui 	不睡	c=3 d=2.54851e-06 t=17463
bu shuo 	不说	c=1 d=4.8091e-06 t=17463
bu shuo le 	不说了	c=1 d=9.56323e-05 t=17463
bu suan 	不算	c=1 d=0.123687 t=17463
bu tai 	不太	c=0 d=3.48063e-27 t=17463
bu tai hao ba 	不太好吧	c=1 d=3.49807e-26 t=17463
bu tai hui 	不太会	c=0 d=0.1 t=16413
bu tian xie 	补填写	c=1 d=1 t=15794
bu ting hua 	不听话	c=1 d=5.59595e-24 t=17463
